Order_ID,Order_Date,Customer_Name,Email,Phone,City,State,Product,Category,Qty,Unit_Price,Discount,Payment_Mode,Order_Status,Delivery_Date,Sales,Net_Amount,Profit,Month,Year,Weekday
ORD1002,30-06-2025,Neha,neha82@gmail.com,9829008196,Delhi,Delhi,Chair,Furniture,4,1999,0,UPI,Pending,07-03-2025 00:00,7996,7996,1599.2,June,2025,Monday
ORD1003,03-02-2025,Rohit,rohit45@gmail.com,9280491167,Pune,Maharashtra,Watch,Fashion,5,4999,0,Card,Pending,02-09-2025 00:00,24995,24995,4999,February,2025,Monday
ORD1004,06-05-2025,Amit,amit6@gmail.com,9943310925,Jaipur,Rajasthan,Mouse,Electronics,3,1999,0,COD,Returned,05-08-2025 00:00,5997,5997,1199.4,May,2025,Tuesday
ORD1007,10-02-2025,Rahul,rahul82@gmail.com,9517780193,Mumbai,Maharashtra,Mouse,Electronics,3,499,0,Wallet,Cancelled,10-02-2025 00:00,1497,1497,299.40000000000003,February,2025,Monday
ORD1008,17-02-2025,Rahul,rahul71@gmail.com,9789375429,Lucknow,Up,Mouse,Electronics,4,9999,0,Card,Returned,17-02-2025 00:00,39996,39996,7999.200000000001,February,2025,Monday
ORD1009,,Rahul,rahul99@gmail.com,9552649559,Mumbai,Maharashtra,Bottle,Home,2,1499,0,Wallet,Pending,,2998,2998,599.6,,,
ORD1010,10-04-2025,Rohit,rohit96@gmail.com,9700116928,Jaipur,Rajasthan,Mouse,Electronics,1,,0,NetBanking,Delivered,10-04-2025 00:00,,,,April,2025,Thursday
ORD1011,11-01-2025,Neha,neha22@gmail.com,9580304152,Jaipur,Rajasthan,Chair,Furniture,3,999,0,COD,Pending,11-01-2025 00:00,2997,2997,599.4,January,2025,Saturday
ORD1012,03-03-2025,Vikas,vikas46@gmail.com,9551158398,Jaipur,Rajasthan,Shoes,Fashion,3,999,0,COD,Cancelled,03-09-2025 00:00,2997,2997,599.4,March,2025,Monday
ORD1015,17-03-2025,Rohit,rohit6@gmail.com,9643353842,Lucknow,Up,Bottle,Home,5,,0,Card,Returned,17-03-2025 00:00,,,,March,2025,Monday
ORD1016,31-03-2025,Sneha,sneha86@gmail.com,9125254427,Pune,Maharashtra,Laptop,Electronics,3,4999,0,NetBanking,Pending,04-09-2025 00:00,14997,14997,2999.4,March,2025,Monday
ORD1017,12-01-2025,Vikas,vikas12@gmail.com,9498228945,Jaipur,Rajasthan,Watch,Fashion,1,4999,0,NetBanking,Pending,12-01-2025 00:00,4999,4999,999.8000000000001,January,2025,Sunday
ORD1018,,Amit,amit96@gmail.com,9124086971,Mumbai,Maharashtra,Shoes,Fashion,2,4999,0,Wallet,Delivered,,9998,9998,1999.6000000000001,,,
ORD1019,06-03-2025,Vikas,vikas20@gmail.com,9524467082,Bengaluru,Karnataka,Chair,Furniture,3,1499,0,COD,Returned,06-03-2025 00:00,4497,4497,899.4000000000001,March,2025,Thursday
ORD1020,15-03-2025,Rahul,rahul90@gmail.com,9106119129,Pune,Maharashtra,Watch,Fashion,3,999,0,UPI,Returned,15-03-2025 00:00,2997,2997,599.4,March,2025,Saturday
ORD1021,27-01-2025,Priya,priya82@gmail.com,9583849937,Pune,Maharashtra,Chair,Furniture,3,,0,UPI,Cancelled,02-02-2025 00:00,,,,January,2025,Monday
ORD1023,27-04-2025,Neha,neha70@gmail.com,9133995118,Mumbai,Maharashtra,Shoes,Fashion,1,499,0,COD,Pending,05-01-2025 00:00,499,499,99.80000000000001,April,2025,Sunday
ORD1024,29-06-2025,Rohit,rohit60@gmail.com,9633404088,Bengaluru,Karnataka,Mouse,Electronics,3,,0,Card,Cancelled,07-08-2025 00:00,,,,June,2025,Sunday
ORD1026,05-04-2025,Sneha,sneha71@gmail.com,9967773139,Bengaluru,Karnataka,Bottle,Home,4,9999,0,Wallet,Returned,04-08-2025 00:00,39996,39996,7999.200000000001,April,2025,Saturday
ORD1028,05-06-2025,Amit,amit15@gmail.com,9853264878,Lucknow,Up,Watch,Fashion,3,4999,0,NetBanking,Cancelled,06-09-2025 00:00,14997,14997,2999.4,June,2025,Thursday
ORD1029,06-02-2025,Rahul,rahul82@gmail.com,9689560222,Pune,Maharashtra,Bottle,Home,5,1499,0,COD,Delivered,06-02-2025 00:00,7495,7495,1499,February,2025,Thursday
ORD1030,25-04-2025,Rahul,rahul52@gmail.com,9882683944,Mumbai,Maharashtra,Shoes,Fashion,1,9999,0,UPI,Delivered,05-01-2025 00:00,9999,9999,1999.8000000000002,April,2025,Friday
ORD1032,12-04-2025,Neha,neha79@gmail.com,9312273373,Pune,Maharashtra,Bottle,Home,1,499,0,UPI,Delivered,12-04-2025 00:00,499,499,99.80000000000001,April,2025,Saturday
ORD1034,13-05-2025,Amit,amit55@gmail.com,9798448836,Pune,Maharashtra,Bottle,Home,4,4999,0,NetBanking,Pending,13-05-2025 00:00,19996,19996,3999.2000000000003,May,2025,Tuesday
ORD1039,20-03-2025,Rahul,rahul33@gmail.com,9193291098,Jaipur,Rajasthan,Laptop,Electronics,1,2599,0,Wallet,Returned,20-03-2025 00:00,2599,2599,519.8000000000001,March,2025,Thursday
ORD1040,,Sneha,sneha23@gmail.com,9116124699,Delhi,Delhi,Bottle,Home,5,1499,0,Card,Returned,,7495,7495,1499,,,
ORD1041,25-06-2025,Rahul,rahul11@gmail.com,9940596133,Bengaluru,Karnataka,Bottle,Home,5,9999,0,UPI,Returned,25-06-2025 00:00,49995,49995,9999,June,2025,Wednesday
ORD1042,13-01-2025,Rahul,rahul66@gmail.com,9792040786,Mumbai,Maharashtra,Bottle,Home,4,,0,NetBanking,Delivered,13-01-2025 00:00,,,,January,2025,Monday
ORD1043,16-04-2025,Rahul,rahul61@gmail.com,9157741059,Delhi,Delhi,Laptop,Electronics,2,2599,0,COD,Pending,16-04-2025 00:00,5198,5198,1039.6000000000001,April,2025,Wednesday
ORD1045,,Priya,priya61@gmail.com,9111524138,Bengaluru,Karnataka,Laptop,Electronics,3,1499,0,Wallet,Pending,,4497,4497,899.4000000000001,,,
ORD1047,17-03-2025,Rohit,rohit24@gmail.com,9603990367,Jaipur,Rajasthan,Shoes,Fashion,1,999,0,NetBanking,Cancelled,17-03-2025 00:00,999,999,199.8,March,2025,Monday
ORD1049,15-04-2025,Amit,amit42@gmail.com,9533399379,Lucknow,Up,Watch,Fashion,5,2599,0,COD,Returned,15-04-2025 00:00,12995,12995,2599,April,2025,Tuesday
ORD1052,25-02-2025,Sneha,sneha63@gmail.com,9276376917,Pune,Maharashtra,Mouse,Electronics,5,9999,0,UPI,Returned,03-02-2025 00:00,49995,49995,9999,February,2025,Tuesday
ORD1053,23-05-2025,Sneha,sneha39@gmail.com,9432994066,Mumbai,Maharashtra,Laptop,Electronics,1,1999,0,COD,Delivered,23-05-2025 00:00,1999,1999,399.8,May,2025,Friday
ORD1054,,Sneha,sneha78@gmail.com,9399449203,Jaipur,Rajasthan,Laptop,Electronics,2,999,0,NetBanking,Pending,,1998,1998,399.6,,,
ORD1056,29-05-2025,Neha,neha98@gmail.com,9481676392,Pune,Maharashtra,Chair,Furniture,2,9999,0,COD,Cancelled,29-05-2025 00:00,19998,19998,3999.6000000000004,May,2025,Thursday
ORD1057,03-02-2025,Rohit,rohit66@gmail.com,9358211659,Bengaluru,Karnataka,Chair,Furniture,5,1499,0,Wallet,Pending,02-06-2025 00:00,7495,7495,1499,February,2025,Monday
ORD1058,12-02-2025,Sneha,sneha17@gmail.com,9581041302,Jaipur,Rajasthan,Chair,Furniture,2,2599,0,Card,Cancelled,12-02-2025 00:00,5198,5198,1039.6000000000001,February,2025,Wednesday
ORD1059,07-05-2025,Vikas,vikas8@gmail.com,9966346542,Pune,Maharashtra,Mouse,Electronics,5,999,0,NetBanking,Delivered,07-05-2025 00:00,4995,4995,999,May,2025,Wednesday
ORD1060,09-04-2025,Rohit,rohit64@gmail.com,9848493769,Delhi,Delhi,Laptop,Electronics,5,999,0,COD,Returned,09-04-2025 00:00,4995,4995,999,April,2025,Wednesday
ORD1061,01-06-2025,Vikas,vikas12@gmail.com,9714988193,Jaipur,Rajasthan,Shoes,Fashion,5,499,0,UPI,Cancelled,06-05-2025 00:00,2495,2495,499,June,2025,Sunday
ORD1064,28-06-2025,Rohit,rohit44@gmail.com,9745435168,Lucknow,Up,Bottle,Home,1,1999,0,NetBanking,Cancelled,07-04-2025 00:00,1999,1999,399.8,June,2025,Saturday
ORD1065,27-04-2025,Sneha,sneha92@gmail.com,9231780669,Mumbai,Maharashtra,Shoes,Fashion,3,1499,0,NetBanking,Pending,05-01-2025 00:00,4497,4497,899.4000000000001,April,2025,Sunday
ORD1066,05-05-2025,Neha,neha26@gmail.com,Unknown,Mumbai,Maharashtra,Watch,Fashion,5,2599,0,Card,Returned,05-05-2025 00:00,12995,12995,2599,May,2025,Monday
ORD1067,10-03-2025,Sneha,sneha9@gmail.com,9631416622,Delhi,Delhi,Shoes,Fashion,1,,0,NetBanking,Returned,10-03-2025 00:00,,,,March,2025,Monday
ORD1069,20-01-2025,Vikas,vikas55@gmail.com,9385463872,Lucknow,Up,Shoes,Fashion,1,4999,0,Card,Cancelled,20-01-2025 00:00,4999,4999,999.8000000000001,January,2025,Monday
ORD1070,28-02-2025,Sneha,sneha18@gmail.com,9191665927,Delhi,Delhi,Chair,Furniture,1,499,0,Wallet,Cancelled,03-04-2025 00:00,499,499,99.80000000000001,February,2025,Friday
ORD1071,13-01-2025,Priya,priya8@gmail.com,9398321309,Delhi,Delhi,Laptop,Electronics,4,999,0,Card,Returned,13-01-2025 00:00,3996,3996,799.2,January,2025,Monday
ORD1072,,Sneha,sneha64@gmail.com,9920347519,Bengaluru,Karnataka,Chair,Furniture,3,4999,0,Card,Returned,04-07-2025 00:00,14997,14997,2999.4,,,
,26-01-2025,Vikas,vikas17@gmail.com,9814518863,Mumbai,Maharashtra,Chair,Furniture,4,4999,0,NetBanking,Cancelled,26-01-2025 00:00,19996,19996,3999.2000000000003,January,2025,Sunday
ORD1074,15-06-2025,Neha,neha79@gmail.com,9851707847,Pune,Maharashtra,Chair,Furniture,5,4999,0,Card,Delivered,15-06-2025 00:00,24995,24995,4999,June,2025,Sunday
ORD1075,20-05-2025,Vikas,vikas2@gmail.com,9934129735,Pune,Maharashtra,Mouse,Electronics,4,4999,0,NetBanking,Pending,20-05-2025 00:00,19996,19996,3999.2000000000003,May,2025,Tuesday
ORD1077,24-01-2025,Neha,neha85@gmail.com,9919894416,Mumbai,Maharashtra,Bottle,Home,2,499,0,Wallet,Cancelled,24-01-2025 00:00,998,998,199.60000000000002,January,2025,Friday
ORD1078,01-02-2025,Neha,neha42@gmail.com,9561350940,Lucknow,Up,Chair,Furniture,5,1499,0,Card,Pending,02-06-2025 00:00,7495,7495,1499,February,2025,Saturday
ORD1079,27-01-2025,Priya,priya59@gmail.com,9961124731,Lucknow,Up,Mouse,Electronics,1,1999,0,Card,Returned,02-04-2025 00:00,1999,1999,399.8,January,2025,Monday
ORD1080,,Priya,priya79@gmail.com,9541666116,Jaipur,Rajasthan,Laptop,Electronics,5,1499,0,COD,Returned,,7495,7495,1499,,,
ORD1081,,Sneha,sneha41@gmail.com,9406235087,Jaipur,Rajasthan,Bottle,Home,5,999,0,Wallet,Returned,06-04-2025 00:00,4995,4995,999,,,
ORD1082,01-06-2025,Vikas,vikas84@gmail.com,9289950400,Pune,Maharashtra,Watch,Fashion,3,1999,0,COD,Pending,06-08-2025 00:00,5997,5997,1199.4,June,2025,Sunday
ORD1083,14-05-2025,Priya,priya17@gmail.com,9678334449,Bengaluru,Karnataka,Shoes,Fashion,5,2599,0,Wallet,Cancelled,14-05-2025 00:00,12995,12995,2599,May,2025,Wednesday
